City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Provideniya,RU,64.3833,-173.3,35.13,62,1,7.2,clear sky
191,Faanui,PF,-16.4833,-151.75,82.06,72,2,13.56,clear sky
192,Alexandria,EG,31.2156,29.9553,64.36,82,0,5.75,clear sky
193,Linares,CL,-35.85,-71.6,54.86,84,100,3.96,overcast clouds
194,Chauk,MM,20.8833,94.8167,80.53,76,100,2.77,overcast clouds
195,Vao,NC,-22.6667,167.4833,74.41,70,75,17.45,broken clouds
196,Ishinomaki,JP,38.4167,141.3,60.8,56,0,2.3,clear sky
197,Souillac,MU,-20.5167,57.5167,73.78,94,40,3.44,scattered clouds
198,Catabola,AO,-12.15,17.2833,60.39,70,56,3.74,broken clouds
199,Man,CI,7.4125,-7.5538,72.01,99,100,1.99,light rain
200,Tamandare,BR,-8.7597,-35.1047,76.71,78,100,6.55,overcast clouds
201,Jiujiang,CN,29.7333,115.9833,62.11,88,100,10.71,moderate rain
202,Tortoli,IT,39.9256,9.6572,58.82,88,0,8.05,clear sky
203,Chokurdakh,RU,70.6333,147.9167,22.68,93,100,17.54,light snow
204,Pisco,PE,-13.7,-76.2167,64.02,82,0,20.71,clear sky
205,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,23,7.16,few clouds
206,Bushehr,IR,28.9684,50.8385,75.65,50,0,9.37,clear sky
207,Bowen,AU,-20.0167,148.2333,77.68,82,100,19.39,light rain
208,Joshimath,IN,30.5667,79.5667,62.65,54,37,3.65,scattered clouds
209,Ilulissat,GL,69.2167,-51.1,24.82,80,100,25.32,overcast clouds
210,Shimoda,JP,34.6667,138.95,62.1,69,100,17.16,light rain
211,Airai,TL,-8.9266,125.4092,70.34,52,22,3.53,few clouds
212,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,11.5,scattered clouds
213,San Francisco,US,37.7749,-122.4194,60.51,61,40,20.71,scattered clouds
214,Dubbo,AU,-32.25,148.6167,66.33,63,94,18.41,overcast clouds
215,Dudinka,RU,69.4058,86.1778,36.63,99,100,16.93,overcast clouds
216,Longyan,CN,25.1072,117.0225,69.82,94,99,4.23,overcast clouds
217,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
218,Pinhao,BR,-25.6956,-51.6597,52.52,96,1,2.82,clear sky
219,Hyeres,FR,43.1167,6.1167,58.75,80,0,1.14,clear sky
220,Blantyre,MW,-15.785,35.0085,62.71,77,0,2.64,clear sky
221,Xinzhi,CN,36.4989,111.7047,59.74,69,4,5.03,clear sky
222,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,82,0,9.22,clear sky
223,Raduzhnyy,RU,62.0961,77.475,43.36,85,20,4.88,few clouds
224,Nanortalik,GL,60.1432,-45.2371,34.75,88,34,3.33,scattered clouds
225,Barrow,US,71.2906,-156.7887,30.22,86,100,13.8,overcast clouds
226,Karasjok,NO,69.4719,25.5112,35.22,99,100,2.77,overcast clouds
227,Flin Flon,CA,54.7682,-101.865,56.95,56,100,7.63,overcast clouds
228,Sioux Falls,US,43.55,-96.7003,75.06,35,0,18.41,clear sky
229,Minna,NG,9.6139,6.5569,75.42,81,100,3.02,overcast clouds
230,Kashi,CN,39.4547,75.9797,72.61,21,40,6.71,scattered clouds
231,Port Hardy,CA,50.6996,-127.4199,50.0,87,75,8.05,light intensity shower rain
232,Chara,RU,56.9064,118.2631,31.64,65,100,8.86,light snow
233,Chuy,UY,-33.6971,-53.4616,60.24,95,100,3.42,overcast clouds
234,Churapcha,RU,62.0025,132.4325,32.61,59,99,7.99,overcast clouds
235,Palembang,ID,-2.9167,104.7458,82.49,94,20,5.75,haze
236,Antofagasta,CL,-23.65,-70.4,60.08,81,47,5.35,scattered clouds
237,Houma,US,29.5958,-90.7195,83.01,78,0,6.91,clear sky
238,Ghatampur,IN,26.1667,80.1667,87.39,39,0,7.78,clear sky
239,Payo,ID,-3.7508,103.6372,78.98,83,100,1.34,overcast clouds
240,Ankazoabo,MG,-22.2833,44.5167,60.3,96,7,3.51,clear sky
241,Juba,SS,4.8517,31.5825,72.81,89,100,3.4,overcast clouds
242,Namatanai,PG,-3.6667,152.4333,85.82,66,33,15.28,scattered clouds
243,Bambous Virieux,MU,-20.3428,57.7575,73.65,94,40,3.44,light rain
244,Horodyshche,UA,49.2849,31.4451,40.68,69,12,5.7,few clouds
245,Yulara,AU,-25.2406,130.9889,58.84,41,0,12.66,clear sky
246,Cascais,PT,38.6979,-9.4215,62.94,66,89,15.01,overcast clouds
247,Bethel,US,41.3712,-73.414,63.45,12,0,20.71,clear sky
248,Geraldton,AU,-28.7667,114.6,63.01,94,75,4.61,broken clouds
249,Lebork,PL,54.5392,17.7501,44.92,62,8,7.18,clear sky
250,Bengkulu,ID,-3.8004,102.2655,80.8,76,91,1.7,overcast clouds
251,Coamo,PR,18.08,-66.3579,79.75,87,64,4.27,broken clouds
252,Kruisfontein,ZA,-34.0033,24.7314,53.2,71,100,3.33,overcast clouds
253,Hamilton,US,39.1834,-84.5333,75.15,56,0,12.66,clear sky
254,Hasaki,JP,35.7333,140.8333,66.29,68,100,17.43,overcast clouds
255,Pacific Grove,US,36.6177,-121.9166,59.11,61,0,13.8,clear sky
256,Ngunguru,NZ,-35.6167,174.5,67.17,60,8,11.23,clear sky
257,Urucara,BR,-2.5364,-57.76,73.69,99,91,2.19,overcast clouds
258,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,20,9.22,few clouds
259,Port Alfred,ZA,-33.5906,26.891,61.23,73,96,5.57,overcast clouds
260,Petrovskaya,RU,45.4314,37.955,51.15,92,64,8.1,broken clouds
261,Sulangan,PH,11.1373,123.7228,82.36,76,78,8.88,broken clouds
262,Moyale,KE,3.5167,39.0584,66.61,84,39,5.01,scattered clouds
263,Atlantic City,US,39.3643,-74.4229,58.01,45,100,9.22,overcast clouds
264,Vila Do Maio,CV,15.1333,-23.2167,72.39,84,43,14.45,scattered clouds
265,Aksarka,RU,66.5606,67.7975,28.65,92,100,11.27,overcast clouds
266,Albion,US,42.2431,-84.753,73.35,43,0,13.8,clear sky
267,Porbandar,IN,21.6422,69.6093,81.45,76,47,13.8,scattered clouds
268,Gifhorn,DE,52.4833,10.55,54.41,80,63,5.75,broken clouds
269,Benoy,TD,8.9833,16.3199,85.3,50,12,7.49,few clouds
270,Fort Nelson,CA,58.8053,-122.7002,38.79,65,75,9.22,broken clouds
271,Tara,RU,56.8944,74.371,52.23,62,8,4.14,clear sky
272,Tavda,RU,58.0425,65.2726,49.48,58,58,5.26,broken clouds
273,Hailar,CN,49.2,119.7,41.29,34,100,18.41,overcast clouds
274,Jackson,US,42.4165,-122.8345,48.58,74,75,5.75,broken clouds
275,Linxia,CN,35.6003,103.2064,59.95,36,100,0.51,overcast clouds
276,Anadyr,RU,64.75,177.4833,39.7,56,0,13.42,clear sky
277,Porto Walter,BR,-8.2686,-72.7439,78.42,74,98,2.46,overcast clouds
278,Burnie,AU,-41.0667,145.9167,54.77,65,1,2.75,clear sky
279,Eureka,US,40.8021,-124.1637,54.12,65,42,5.99,scattered clouds
280,Beloha,MG,-25.1667,45.05,65.44,96,3,6.53,clear sky
